User Name,Ratings,Mini Review,Date,Reviews
Suviesh VS,5.0 out of 5 stars,"
TOTALLY IMPRESSED WITH Mivi THUNDERBEATS
",2 January 2020,"
Totally impressive and really worth for the price tag. The sound quality is simply amazing because that is what headsets meant to be. 5 star rating for the sound quality at this price.Noise cancellation - It just disconnects from the world around you. My wife was annoyed due to that reason :pBluetooth connectivity - It does its job well.Battery life - I haven't tested it yet. Since I'm posting this review in less than an hour since its delivered.WORTH BUYING THIS PRODUCT IF YOU'RE LOOKING FOR EAR ON WIRELESS HEADSETS.
"
anshul agrawal,5.0 out of 5 stars,"
Premium Quality In Budget
",17 January 2020,"
 Mivi Thunder Beats Really a Premium build quality product with decent sound quality in budget price range .after full charge you get backup upto 8.5 hrs of continuous music playback with 95% of volume. Sound quality is awesome .vocals are clear and loud enough ,bass and treble quality is too good .In one line  its worth to purchase .
"
Mahendra,3.0 out of 5 stars,"
Not that impressive..
",3 February 2020,"
Using is form last 2 weeks.Cons..Some times ear will get pain if your holding is for long. If your not using and only keeping around you neck the it will slip towards right side (also same in using only one side of it)Neck band length is too short, You need to struggle to fine the receiver button.The button arrangement is not conventional. If the head phone around you neck then most the top button is for reduce the volume.Pros..Battery life is good.  Will last for day if only calls.Good for this price range (700-1000)
"
Aishwarya talwar,5.0 out of 5 stars,"
POWERHOUSE WITH DEEP BASS AND STYLISH ACCENTS
",20 January 2020,"
I have been using these earphones on a daily basis and all I can say is that these are a power house with the following Pros:1. Strong Bass2. Comfortable to wear3. Great in terms of built quality4. Extremely stylish with chrome finish on the rim of each earphone5. Comes with strong battery life7. Lightweight and comes with an adjustable neck wire.8. Noise cancellation while calls is super duper!Cons:No cons, mivi has never disappointed me and this time too they nailed it!!
"
Vaibhav Agrawal,3.0 out of 5 stars,"
Great product but not suitable for everyday exercises.
",31 December 2019,"
This product is ine of the best sound quality product in the market, but sound is not the only parameter for ratings. One of the worst thing about this earphones is its design. I have bought this for running and skipping purposes but these earphones don't hang inside ears once you start to jump or run. One of the side where buttons are placed is elongated and results in lose ear contact. Apart form this single thing this earphones rock. Build quality is superior, sound is superior and even battery backup is also superior. But do check for options if buying this for workout purpose.
"
Dipesh,4.0 out of 5 stars,"
Value For Money/ Maja aavi gayi
",15 October 2019,"
It's sound quality is amazing. Bluetooth pairing is fast and easy. Led indicator blue and red colour light is helpfull. Battery charge time is too fast and power backup time is almost 5-6 hours. Build quality is good but not more as want. Earpiece is little bit bulki and charging port is tight for cable in and out. Only carry case is remaining.
"
Aftab shaikh,4.0 out of 5 stars,"
Nice product
",26 October 2019,"
 I will not explain more and less than it deserve as i can see on other reviews..1. Fits perfectly in ears but it feels pain for long use..2. Bass is awesome. If a person searching for an earphone having great bass, this earphone deserves the best at this cost..3. Sound quality is good, but for this cost it could be more better, overall good sound quality.. 👍4. Battery backup is good, as we can see in description.. it gives 7 hours of backup..5. Looks are awesome 🔥🔥.. it looks so hot.. perfect..6. Its mic is very good, it gives clear sound to the person on the other side of call..
"
Amazon Customer,3.0 out of 5 stars,"
Awesome....MIVI...with battery issue
",30 December 2019,"
Disappointed by the battery issue not working well .in between it dead and when plugged to charge it shows fully charged.Awesome Sound ... quality is good, bass cool, tangle free, much comfortable, with adjustable accessories, Bluetooth range is good. Usning in 7T . I loved it.
"
shubham,5.0 out of 5 stars,"
Splendid
",20 January 2020,"
The bass on this headset is bizarrely amazing and that proves to be the selling point of this device.if you're a basshead this is a treat to your ears. it's my first day using it so can't really talk about the durability and how long it would last...but by the looks of it, it looks robust.A minor con i had was the fitting as many people have had issues but I changed the buds and it fit me just fine.bluetooth connection is good but if you move another room with a wall between, the connection will shrivel.overall a great package given that I got it for just 899 bucks.
"
Nikhil Sarfare,5.0 out of 5 stars,"
Excellent performance
",23 January 2020,"
Excellent Bass Quality and Noise cancellation Makes it very worthy!The overall quality of the earphone is very nice, the ear buds are very soft and does not give irritation feeling as such!With Constant use, battery lasts long for around 7-8 hours which is more than sufficient if you are a moderate user.Overall quite happy with the product.
"
Burhan,4.0 out of 5 stars,"
Best at it's price -  Trust me.
",29 December 2019,"
Product is good, and I am really enjoying it. Great Bass, but low Treble. Plugs are heavy bcz of metalic design, so not good for long usage. Max 1 hour usage is fine, but wearing it longer starts paining in ear.Overall nice product from MiVi at this price.
"
Harsh Vardhan,5.0 out of 5 stars,"
Mivi thunder you get my every day ...
",22 January 2020,"
First thing I would to talk about its noise cancellation is damn good and it's bass of beats every song I clearly listen ... That after i never expected as such noise cancellation in Bluetooth headset first ever it's excellent in doing exercises and running activities or but you have to very care about to go on road with these. .. trust me it's noise cancellation is damn good it's cause you an accident if you try on roadside walking ..  be careful by own ... Safety first
"
chaitali,3.0 out of 5 stars,"
Good quality in sound but not fitting well
",24 November 2019,"
Everything is good good bout this product except they don’t fit very well in ear.. they kept falling off which at a times very irritating.. hence I would like mivi to take care of this .. as it is heavy on the outer side .. it keep falling of.
"
RMKHODA,1.0 out of 5 stars,"
Product Not Working
",18 October 2019,"
Whatever product i got doesn't look like original one as i already have one. Btw it didn't show up in any device maybe faulty product so returned It.
"
Mudit,5.0 out of 5 stars,"
Hats off bass!
",17 January 2020,"
This one is all about featuring my new product!It's @mivi Thunder beats wireless earphones-Super Solid bassy sound-Upto 7 hours standy capability-Waterproof or sweat proof-Bluetooth connectivity 5.0-Ergonomic design(snug fit)Direct into ears-Convenient Magnetic Locking System(When not in use)-Passive Noise cancellationNd if you are a bass person you gonna definitely love it!🔥Yup the Unboxing is soon!🔥 at Techguru Mudit#Promotion #mivi #youtube #earphone #december #comingsoon
"
Manikandan,2.0 out of 5 stars,"
Good to buy on low budget.  Cannot be used on regular basis.
",21 October 2019,"
I tried buying this from a long time.  Once I got it it was good to use.Pros:Good bassGood battery lifeGood noice cancellation.Cons:This con is a very big con.  Because the earphone is heavy and cannot be wear for a long time. I don't like it's placement on ears.  Very big once.  While seeing image I thought it would be small.  But it's very big. I am not using it though due to that.
"
amogh,4.0 out of 5 stars,"
Great product but fragile overall
",11 January 2020,"
Pros:Power packed battery ; works fine for 7 hours and charging time around 1 hour .Fits in the ear perfectly and gives perfect noise cancellation.Bass is good .Cons:Device sometimes get disconnected automatically for calls while is still playing.Plastic cover used to protect the usb charging port breaks after certain usageSweat Resistance not upto the mark can cause short circuit  (has been the case with many people i know;replacement is done till warranty period).Replacement procedure is quite lengthy.
"
Pranav Sompura,5.0 out of 5 stars,"
Good earphones
",14 December 2019,"
Build Quality: The earphones are cased in metal, have flat tangle-free wires & very good quality ear tips and earfins. So, for the price, the build great. Rough usage won't be a problem as well.Sound quality: The bass is really punchy. If you like EDMs, you'll love these earphones. The mids felt a little muffled and the treble could've been just a bit better.Comfort: The earbuds feel a little heavy because of the metal casing, so comfort is compromised a bit. Although you can wear it for an hour or so without any worries.
"
Harsh M.,5.0 out of 5 stars,"
Better than sony w300
",15 January 2020,"
I had sony w-300 it was worth 3000 and compared to MIVI was not a good buy It stopped working within a year1 This product has better bass2 Better noise cancellation3 Superb 1349 price at which I purchasedPlease buy and compare it your self i just compared with Sony w300 and this is 100% much better at this price
"
Nikunj Patel,3.0 out of 5 stars,"
Only 1 star For its Style. Looks like Big earrings!
",9 October 2019,"
If you think that you will go outside wearing this headsets, throw away that thoughts because the earplugs are too big than other products available in market. They seems like you have wear the big ear-rings in your ears and you will feel shamed by going in public.If you only want to use as hearing quality music and any audio then only I recommend this but in style It receives only 1 STAR. You will not get any hard kind of band round the neck so possibly it can get out of your ears too easily. So overall I give it max 3 STARS.
"
Suraj choudhary,3.0 out of 5 stars,"
Read my review then and you automatically observe buy or not buy
",1 February 2020,"
This Bluetooth headphone is nice but I give you a honest review I use whole day but promise you guys you can't wearing more than 30 minutes because after 30 minutes ears is is paining...I am not liar so I tell you sound is too much awesome but when I listen vocal like sounds I feel that headphone is is not for this but if you listen rap DJ songs then definitely this headphone for you but looks not so good because because the earbuds is too large and looking too bad
"
Annant Gupta,5.0 out of 5 stars,"
Great durability and value for money.
",29 January 2020,"
The MIVI Bluetooth headphones are value for money. They have great battery life and durability. It was recommended to me by my cousin, he used it for over a year and it is still working great.Overall quality is great and I recommend everyone to buy them. They are packed with bass. I have to keep one of my ear open so that I can hear the outside  world. It is so tightly packed I feel like I am in a concert.Overall, nice product, great durability and value for money. 👍👍
"
Shubh,1.0 out of 5 stars,"
Mivi is a big disappointment
",28 January 2020,"
Got them delivered and tried to switch them on and they did not work i thought the battery must be dead but when i tried switching it on after charging it, still won't switch on. I am disappointed with MIVI this is the second time this happened, i spent almost about 2.5 K on duopods and they started giving me issues in less than a month into the usage. I would suggest you add a couple of hundred bucks and go for JBL or sony if you want wirless and if you want wired then under 2 k you can get some of the best ones
"
Dev Naik,5.0 out of 5 stars,"
Amazing Buy. Serves my purpose just as intended.
",14 December 2019,"
Absolutely wonderful product.The sound clarity is perfect.I'm writing this review after 2 months of constant usage, and have zero qualms about connectivity or sound quality or bass quality.The comfort is also great, i use it inside a helmet while riding bike and the noise cancellation is amazing. The attachable magnets make you forget they even exist around your neck.Amazing buy!
"
Ibrahim,5.0 out of 5 stars,"
EXCELLENT PRODUCT
",27 January 2020,"
I like the product very much. The song quality is awesome and the base is also very good the design is very algonomics and its width is d in the year if not you get extra attempt in a dog ear buds so that you can find your ideal weight is also got very good bacteria which can give up to 7 hours playback at 75% volume and can charge 2 ful at 2 hours over it's a very good product just go for it.
"
Hacktechz,4.0 out of 5 stars,"
Thunderbeats :- the real beast .
",22 January 2020,"
One of the best product i have purchased ever . The company might sound new to you , but let me inform you it provides best quality product in a very pleasing range . Here's a brief review of thunderbeats ;-Connectivity :- 5 out of 5 , i have tried it in cycling , exercising , also i have tried it for long range of bluetooth it works absolutely fine .Sound quality :- 4 out of 5 . It's as good as another earphones in this price range .
"
Debiprasad Mishra,1.0 out of 5 stars,"
Bad product
",23 December 2019,"
It is second time I have bought this product first time Its the best product but this time after price slashed it's a worst product I have but from amazon. Last month I have ordered it first time I received a damaged product claim it got a replacement but unfortunately worked hardly 15 days then mic did not work claim warrenty since 20 days product not received. Recomend do not buy it . This time very very poor performance.
"
LALIT S.,4.0 out of 5 stars,"
A steal at this price! Better than Boult and Boat
",30 October 2019,"
As always Amazon delivery was great and on time. As for the product, got it at a great price of 999/-! And i am loving every minute with it.ProsPremium quality metal earphones.Mic quality is good.Battery backup around 6-7 hours and recharge time between 1-2 hours.Bass is amazing, must for bass heads.ConsLittle on the heavier side.Bass is great but mids are okayish.Can be little difficult to wear for long hours due to heavy weight.
"
ankit rakwal,5.0 out of 5 stars,"
Good one's for this price point
",14 January 2020,"
Good earphones at this price. The bass is on a little higher side compared to other ones. Though a slightly irritatble on high volume with only one earpiece in ear, however, overall it's really good at this price point. Even the battery life is good along with less charging time!
"
idrees mehraj,4.0 out of 5 stars,"
Problem in PUBG.
",5 December 2019,"
If u r a PUBG player then don't go for this one, as i faced the problem during the game is that the sound comes after the action, i fired then rounds from any gun and then the sound of fire comes. And that will create a lot of problem in finding enemies as enemies location and sound changes. NOW I AM PLAYING WITHOUT EARPHONE, and going to buy a simple samsung earphone.😭😭😭
"
anubhav,5.0 out of 5 stars,"
Loved Mivi.. Big 👍🏻👍🏻
",23 January 2020,"
I bought it for just ₹899. . I had little doubt about it in the beginning ,  but i somehow go fr it and i am glad i bought it. It’s having very nice audio quality with an amazing base which was really unexpected to get under this price. You can get connected with 2 of ur devices at the same time that is also an amazing thing u can get. There is no doubt that mivi is value for money thing.
"
Ravi D'souza,5.0 out of 5 stars,"
Good Product as Described
",20 December 2019,"
The Product is very good and works as described.  They are easy to use and pair with the Phones. I can connect up to 2 Devices simultaneously and use it with the Headphones. They have good range and keeps reminding if i am going far from the devices connected.I Would definitely recommend these.
"
Nawaz Sharief N,5.0 out of 5 stars,"
Such a silly mistake
",23 January 2020,"
As you can see in the photo, they've given both left sided rubber grips. Didn't expect this. I've bought the same mivi headset from mivi web page and there wasn't any issue. I've been using it since 14-15 days, the only issue I'm facing is mic problem. While on call the other can't hear my voice. He'll feel like I'm talking from somewhere far n low voice output. Rest all is fine but I bought this headset only for calls. And this mic problem is really dissatisfying.
"
Rohit Gupta,2.0 out of 5 stars,"
Faulty earphone....all of a sudden its not working after charging
",18 November 2019,"
I purchased mivi thunderbeats wireless bluetooth earphone from amazon .i received it on 19th oct, 2019.  Few days back i kept it on charging as i removed it from charging it was not working at all. It has warranty of 1 year and its not even half a month since i received it.... replace it as soon as possible
"
Narasimha,4.0 out of 5 stars,"
Product is good for price
",10 January 2020,"
Bought it for 1300/-  It is a good product at this price. The sound quality is good at low/medium volume. But when I put high volume and  I power on, people around me can hear the voice clearly.
"
Rahul bose,5.0 out of 5 stars,"
My first bluetooth headset
",9 October 2019,"
Amazing product with very good sound quality and bass.bluetooth connectivity is flawless with my note 5 pro and battery backup is also very decent definitely a worthy purchase.
"
Deepak Arora,1.0 out of 5 stars,"
Good sound but uncomfortable in ears
",7 January 2020,"
Very uncomfortable in ear. Too heavy magnet for the ear, you start feeling pain in ear lobes after long usage.The mouth piece makes it heavier on one side and the earpiece keeps falling from your ear.Sound Quality is good but you can't enjoy because of the discomfort.
"
TECHTUBER SIMBA,5.0 out of 5 stars,"
Best budget bluetooth earphones in india.
",16 January 2020,"
MIVI ThunderBeats bluetooth earphones is one of the best bluetooth earphones which delivers HD voice.it has a gr8 bass.it supports fast charging also.battery life is superb.you can make a hassle free calls indoor and outdoor both bcz it has a Qualcomm cvc noise cancellation It supports dual connectivity.i thins this is best Budget earphones in india.
"
Mayank Mishra,4.0 out of 5 stars,"
Good Bass quality 🤘🏻
",27 December 2019,"
The headphone is of an amazing quality, the sound you hear is with good precision. Bass is amazing but obviously you cant compare with wired ones having Exclusive drivers. There is a problem with the mic, sometimes its difficult for the other person to hear what you say, and sometimes its crystal clear. Anyway, not everything is perfect. But an amazing headphone with a good battery life of 6hrs
"
Harit khoda,5.0 out of 5 stars,"
Best  bluetooth earphones
",18 January 2020,"
I have been using this amazing earphones for a quite long time now and i have to say they are really really good. A long time battery life, such a great sound everything about these are brilliant
"
"Worst service I have ever received. It's been more than 20 days, still have not received replacement.  ",1.0 out of 5 stars,"
Pathetic and stupid customer service
",28 December 2019,"
Ordered headphones on 4th December, was working fine. Just for last 3 days it has stopped working. It was mentioned it has 1 year warranty. So sent an email but got bounced. Fake email I guess given on warranty card. Can anyone help here.
"
Shinobi,5.0 out of 5 stars,"
An overall good purchase.
",20 January 2020,"
A very good product indeed. Best for people who workout regularly. Heavy bass. Edm songs sound awesome. Even hiphop sounds good. Noise cancellation is a nice bonus. Good fit and sporty design. Magnetic eartips are very helpful.
"
Ajay Dilip Gurme,1.0 out of 5 stars,"
SPAM on behalf of Great Indian Sale!!!
",17 October 2019,"
First time i felt really bad bcoz of Amazon,the package i recieved is not sealed n i didn't got any invoice for my product too! The product is defective as bluetooth is not even visible on my phone. All thanks to this return policy bcoz of which I m not loosing my money,dats it!!!!
"
vineet vs,5.0 out of 5 stars,"
Best product so far , Value for money
",12 January 2020,"
I got this Mivi thunderbeats , gave me about 6-7 hours of battery backup when used at volume levels less than 75% and I should say these are pretty loud earphones, so definitely you never going to listen to music at 100% volume for long time.->I like the Design and built quality of ThunderBeats-> the sound quality is fabulousI will definitely recommend these earphones to buy.
"
Sourav Roy,5.0 out of 5 stars,"
Really Super Solid Bass! Best Budget Bluetooth Earphone!
",22 January 2020,"
In offer you can get this earphone at 899/-In this price range this is the best Bluetooth earphone I have ever seen.Bass Lover will love this.Build quality and design is good. Ergonomic design. You can adjust the ear hook for your ear.Most important you can connect this earphone with 2 devices at same time.
"
Atish Ranjan,5.0 out of 5 stars,"
You gotta buy this😍
",14 January 2020,"
There's nothing to dislike an awesome product,that makes you believe you are in your own world when its on! Fantastic bass, noise suppression works really, really well battery life is as well as promised, a truly growing brand .. Love it..  I have been using it since last year unfortunately  lost one!  So again without wasting my time got it on another day. Happy super satisfied with Mivi.  :) keep rocking🙌😎
"
Mueed,5.0 out of 5 stars,"
Worth the buck
",18 January 2020,"
Really good pair of earphones. The sound quality is amazing too it does have to be reset every time you pair it to a new device but other than that it’s awesomeThe bass is also really good and you can feel it too
"
Subhradeep Mitra,4.0 out of 5 stars,"
Good product in this price range.
",21 October 2019,"
Good product in this price range. Sound quality could be better. Battery life can be improved. If you use extensively then buy some other product. If used occasionally then a good buy. I got it for 999 during amazon sale. Can be used for outdoor activities like walking, jogging and other workout. The product doesn't vibrate though on power on or off. However the hard case wasn't provided with the earphone.
"
amritendu mallick,2.0 out of 5 stars,"
Product is average..
",25 January 2020,"
Product is average..The base is good , but in 75% sound ear piece vibrates..Not at all comfortable for longtime use...But good for irregular use..
"
Prajwalit S,5.0 out of 5 stars,"
Best affordable wireless earphones - Mivi ThunderBeats
",22 January 2020,"
It's a very affordable bluetooth earphones. The sound quality is awesome. The price is competitive. Bass and Treble are well balanced. Build quality is solid. Battery backup is good. Overall a better choice than other earphones available out there but little heavier in weight. Amazon's delivery is very fast. Thanks to my friend Akash, he recommended buying this one.
"
S.A.Farooq,4.0 out of 5 stars,"
Mivi Thunderbeats with Amazing and Thunder performance
",5 November 2019,"
Product Quality and performance is outstanding with rich. For all music lovers I can promise that this product will disappoint you.To experience it's finest quality at superlative level listen to English albums or Rahman Sir's compositions with max volume bcoz u need to catch a highway in sports car rather driving it in street roads.The only issue is it's fitment.
"
Rahul Sharma,4.0 out of 5 stars,"
Amazing Sound Quality
",18 January 2020,"
Good Noice CancellationI wanna Say that MIVI is Too GoodSound Quality like ChummaAmazing ProductBluetooth 5.0 (🤩)You Definitely Go for it!
"
Ajoy Kumar,5.0 out of 5 stars,"
Decent Entry-Level Bluetooth Wireless Earphones
",20 January 2020,"
The Mivi Thunderbeats is a decent entry-level Bluetooth wireless earphones at this price (On a sale you can get it around Rs. 899).It has a good sound quality, the bass is clear. The most important thing I love about Mivi Thunderbeats is the ""Noise cancellation"" feature. It is quite good, you can not hear surrounding sound while listening to music.
"
Chinmay,4.0 out of 5 stars,"
Good features for price. Meant for Casual listeners
",28 October 2019,"
Strong earphones, best features for an earphone (like double tap to redial, hold for 1sec for assistant, etc), good sound quality, not meant for noise cancellation. Bass is normal, loose earbud, lost one in a few days, but used the replacement provided. Charge lasts long, 5.5 hours for continuous use, normally lasts for 2 days on a busy day. Liked it. Would recommend for less than 1.5k.
"
Amazon Customer,4.0 out of 5 stars,"
Good Sound with heavy bass
",25 January 2020,"
I got at a price of Rs. 899/- in a sale with one day prime delivery.The headphone is good but there is no headphone pouch to keep while not in use and it can give comfort 2-3 hours for listening after that it gives some heavy feeling to ears.The design is quite comfortable.Battey backup is impressive about 6-7 hours of continuous use.
"
Amazon Customer,5.0 out of 5 stars,"
LOVE IT
",28 December 2019,"
It is the best bt earphones I ever had Better sound quality than my headphoneNoise cancellation is 60%noise cancellationBluetooth connectivety sometimes gives some troubleBut overall it's the best earphoneDon't think befare buying itIt's best for bass headsI assure youYOU ARE GOING TO LOVE THEM
"
Meet Haria,5.0 out of 5 stars,"
Amazing Purchase
",26 December 2019,"
Had purchased this earphones during the sale and I got it for only 1000Rs. and I must say they are worth of every penny. The main thing which I liked is its long lasting battery and even thing is that while running or jogging they dont fall of from your ears. Sound is also crisp and clear and with equaliser in your phone you can add a great difference to your hearing experience.
"
SRINIVASRAODN,3.0 out of 5 stars,"
Issue with recieving calls
",21 January 2020,"
When i make a call while connected to mivi thunder beats, the other person can't hear my voice. I thought the mic isn't working but it did for google assistant. I don't know what to do.
"
Ravi Kumar,3.0 out of 5 stars,"
OK... But
",24 January 2020,"
Good as per the price bracket but I dint like the size and felt uncomfortable wearing hence returnedThank you amazon for prompt delivery and pick up
"
Dr.sri krishna mahesh,5.0 out of 5 stars,"
Everything good but big size
",27 January 2020,"
Connects to two mobiles at a time.Sound quality good.Strong magnets.Good quality product.Bass very good.Must have once.
"
vikash sharma,5.0 out of 5 stars,"
Value for money
",21 January 2020,"
One can go for this in 1299, sound quality is very smooth and clear. We didn't face any issue in Bluetooth connectivity as well. However while you are taking a call in that case sometime you may feel some disturbance but may be network connectivity is not good my place.So i would say one can go for this.
"
swapnil,1.0 out of 5 stars,"
Worst product and worst customer support
",7 October 2019,"
Very poor connectivity issue , very poor customer service1st time i recieved defective product and 2nd time as replacement I again received a defective productDon't buy this product
"
Ankit Sadani,5.0 out of 5 stars,"
Best Product
",17 January 2020,"
Hi guys,I bought this mivi thunderbeats wireless earphone is the best earphone. I used so much earphone but mivi thunderbeats is my favourite earphone right now & daily i am using this product and i am very impressed with this product and in future i want to purchase more mivi product.Good job #mivi #miviindia
"
Saurav Ghosh,5.0 out of 5 stars,"
Haven't come across a Bluetooth earphone with perfect bass at this price range!
",23 January 2020,"
Undoubtedly the best in segment... Much better than the sony wireless models which goes up to 5000/-... And the bass is best in class which is same as or even better than my Sennheiser cx180..In short... Go for it without a second thought!!And the best part-- I got it for only 899/-
"
Safi,4.0 out of 5 stars,"
My opinion...... MN
",14 October 2019,"
All good,,,,  Quality is awesome.. with heigh noise cancelation, crystal clear sound and good battery life..... Now let's talk about a bit of cons is at indoor condition it lags connection while u keep mobile away at distance of 3m and quite bit weighs heavy and by keeping for more time with less volume it caused me Headaches..... other than this all good...👍🏻😁
"
Shreeyash mane,5.0 out of 5 stars,"
Best product I ever used ... You should also try it you will love it
",27 December 2019,"
Value for money.. One of the best Bluetooth earphone I have ever used. Beasts are awesome... And best part is I can used it while traveling on bike.The battery life is just 6-7 hours but except that the sound and bass is good.Excellent Bass Quality and Noise cancellation Makes it very worthy! The Bluetooth connectivity is also good...❤️❤️ i love this product ...
"
Zeke,5.0 out of 5 stars,"
Good deal and great headphones
",9 January 2020,"
Doesn't care much about sound quality or know much. Use the earphones only during workouts. Near perfect fit. Nice playtime. Charges once every week and that takes care of 2hr per day workouts. Gets loud enough too. Is a steal at 1200. Aftersale services from the company is excellent. Would reccomend.
"
Prince singh,5.0 out of 5 stars,"
This is the best Bluetooth under 1400
",28 January 2020,"
First of all it is very good in the sound  and its build quality is excellent.  Its battery life is very good, 7 to 8 hours of battery life runs smoothly.This product comes within  1400 Rupees, so take this product because you will not find a better product in this range and it is a product of India.mivi is a  Indian company too, you must take this product.
"
rubin,5.0 out of 5 stars,"
Awesome earphones
",11 January 2020,"
This product is awesome ... I love itBattery life of it is also awesomeBut nothing can be perfect so this product is also have some issue .. as body is metal and large so it's little bit heavy so it's painfull in ear after long use. But it's bearable as it's sound quality is very good ..Build quality is also very good and bass is also 👌
"
Narendra Yadav,5.0 out of 5 stars,"
awesome sound quality and build&battery is too good
",24 December 2019,"
""I bough Mivi Thunderbeats wireless bluetooth earphone, Writing this review after use of some times. very balanced sound. Build is rugged which is must for local train commute in mumbai,delhi etc. long Battery life . Initially I was concerned about weight of the headphone, after using it for a while now I am comfortable with it. Top of all.
"
Ankit Vyas,4.0 out of 5 stars,"
My Opinion About Mivi Thunderbeats ❤️
",28 December 2019,"
Sound Quality Of This Mivi Thunderbeats Is Very Good and Noise Cancellation and battery Life Is Good. Bass is High In This earphones so you are like bass songs than you are definitely Purchase This Amazing Mivi Thunderbeats Earphones 😊. Customer Service Of Mivi Is Amazing. I Wish This Indian Company Grow Up Very Well❤️.
"
pooja patel,1.0 out of 5 stars,"
Exchange please
",21 October 2019,"
Kindly exchange my product with new. The product which I had purchased has problem. It doesn’t switch on.
"
Sagar Jagtap,3.0 out of 5 stars,"
Microphone stopped working within 3 months
",21 January 2020,"
I have been using this product since last 3 months. First of all it has very good sound quality and it has strong bass (compared to other Bluetooth headset). But now after only 3 months of purchase , it's microphone stopped working. The one with we are talking is not able to hear our voice through this headsets. All other functions are doing good.
"
Siddharth Naik,5.0 out of 5 stars,"
Nice sounds quality and bass is🔥
",23 December 2019,"
I am using this for 1 month. Sound and bass quality is nice. After full charge it last 6 hours if you continue playing. But i have issue i was hoping it will work with my mic. It's not working . Only when call build in mic work. That's all full satisfied with purchase.
"
SparshArora,4.0 out of 5 stars,"
All about the MiVi ThunderBeats.
",9 November 2019,"
I got these ThunderBeats for Rs.999, At this price point these are the best wireless earphones you can go for.If you are a bass-head, you may not love it but you will like it. I will definitely recommend these earphones at this price point.These connect very quickly to your device, thanks for Bluetooth 5.0 it really makes difference
"
tiru,5.0 out of 5 stars,"
Mivi Thunderbeats wireless earphones review.
",21 January 2020,"
I have Used this Earphones more than a week.And this product offer's good sound quality with high base. The build quality of the product is premium in this price Range. It offers 6-7 hour's of playback time on a single charge and the charging time is 2 hours.So i think this is a best deal under 1000 Rs Price Range.
"
PRACHI PALAV,1.0 out of 5 stars,"
Very poor service by Amazon
",10 October 2019,"
The earphones are too large for medium face ears.And if ur willing to return this product Amazon is least bothered about it.I have contacted Amazon for 4 times till now yet no one has come for the pickup and that's really disgusting .
"
Vikram Tiwari ,1.0 out of 5 stars,"
Don't buy, Amazon and mivi are cheater. Bad sound quality
",23 January 2020,"
Cheap and bad sound quality, earplugs are way too big. Want to return this product but Amazon says return window is closed. I was out of town when prouduct was delivered, I started using it 4 days back and found it worthless. Extremely dissatisfied with the quality . I need to return this product. Don't buy it. Not worth a single penny.
"
Nikhil Verma,5.0 out of 5 stars,"
Overall review
",16 January 2020,"
Sound quality is also very good, the fit is also amazing, they don't fall out easily and fit into the ears easily. Everything is great in this product, but the thing that you should improve is that make them lightweight they are not very light, sometimes it feels bulky. The battery life is very good and the build quality is also great.
"
Naresh,1.0 out of 5 stars,"
Not perfect ones to wear!
",30 January 2020,"
3rd class rubber buds. Highly non-durable and it attracts dust and it starts becoming white color for day 1 usage.. no dual device connectivity!Powerful magnets and heavy ones.Sound quality is decent, build quality only for earpiece is ok but rest not so good
"
LAXMAN KUMAR,5.0 out of 5 stars,"
Unbeatable with such price.
",27 January 2020,"
Thanks for the product. Easy to use. Durable. As per per brand. Loved it. ThanksYou must buy. Trusted brand. Without any hassle go for it.
"
Sivansh dash ,5.0 out of 5 stars,"
Mivi thunderbeats
",17 January 2020,"
Mivi is a brand which is providing quality product in market I usually listens music .so I bought a thunder beat . I got delighted with its output ,the  sound clarity is very clear there is nothing like disturbance or lagging . And battery life is also very effectiveAll in allIt's an excellent product
"
Aniket Joshi,1.0 out of 5 stars,"
Unable to connect to phone
",2 October 2019,"
Hello yesterday I received my orderI'm unable to connect to my phone I had try several times to connect, but unable to connect I'm have search several times on Bluetooth phone is unable to fine the mivi Device
"
Yogesh Pandey,5.0 out of 5 stars,"
“ Excellent and Awesome”
",21 December 2019,"
Good ones ,best sound ever Good noise cancellation.I read a lot of reviews and compared a lot of products before buying these. I am 100% sure its the best that I have boughtPros:1. I love the sound quality it has to offer2. A decent battery life3. Very comfortable and a reliable fit while running
"
Deepak Prakash,1.0 out of 5 stars,"
Charging issue
",18 October 2019,"
Evrything is good about this product but when i have swiched it off even whn battery is full am nt able to switch it on with out conneting Charging Cable..
"
Manish,5.0 out of 5 stars,"
Great Bluetooth headphones
",20 January 2020,"
Amazing headset with great beats and vocals, Must have if you are a music lover and loves to listen music on the go. A detailed review you can check on my youtube channel - Technical chaharji
"
Nitish,5.0 out of 5 stars,"
Killed IT
",23 January 2020,"
An exception product at unbelievable price. Worth the Money the battery stand by too is good perfect product under 1K.
"
Sandeep,5.0 out of 5 stars,"
Superb earphone with mic in affordable price.
",18 December 2019,"
Excellent build quality. looks premium.Decent bass and noise cancellation makes it worth. Works quite well even at higher volume.Bluetooth connectivity is good within about 10 mtr. range.Battery backup is about 6 hrs.Sound quality is excellent.Overall product is superb at this price.
"
naveen,4.0 out of 5 stars,"
nice audio quality
",27 January 2020,"
I received this product with one of the earpiece support missing.Its performance is almost crisp and clear, i got this one in discount.Earphones are sometimes are hard to adjust as it got bit bigger earpiece as compared to others.
"
